name,yomi,link,pref,city,活動住所,活動場所,活動日,参加条件,定員,費用,ホームページ,備考,募集内容,応募方法,募集開始,募集締切,事務局,TEL,（お願い）,（受付時間）,FAX,E-mail,（その他）,事務局（住所）,その他,募集人員,事務局①,事務局②
八戸市少年少女発明クラブ,はちのへし,http://kids.jiii.or.jp/modules/pico/index.php?content_id=23,青森県,八戸市,青森県八戸市類家4丁目3-1,主に八戸市児童科学館,原則として月2回。日曜日の9:00～12:00,八戸市内の小学校3年生～中学校3年生,40名,"年間　6,800円(保険料800円含む)",http://www.kagakukan-8.com,,発明クラブで自分のアイディアを形にしよう！「めあて」をもって活動する人、一年間休まずに最後まで活動を続ける「やる気」のある人を募集します。,毎年3月初旬より、科学館で募集要項を配布します。,春休み中に行います。詳細は科学館にお問合せください。,定員になり次第終了,児童科学館内　八戸市少年少女発明クラブ(八戸市類家4-3-1),０１７８－４５－８１３１,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,火曜日～日曜日　8:30～17:00,０１７８－４５－８１３２,ｊｉｄｏ＠ｋａｇａｋｕｋａｎ－８．ｃｏｍ　(※送信の際は半角で入力してください）,,,,,,
平川市少年少女発明クラブ,ひらかわし,http://kids.jiii.or.jp/modules/pico/index.php?content_id=24,青森県,平川市,〒０３６－０２４２　青森県平川市猿賀南田１５－１,平川市生涯学習センター　３F　ウッディクラフト室,前期（５～１０月）月に1回(土曜日)午前９：００～１２：００、後期（１１～２月）月２～３回(土曜日)午前９：００～１２：００、但し延長を伴うことがある。３月第１土曜日（交流会）午前９：００～１２：００、但し延長を伴うことがある。,クラブの主旨に賛同する小学3年～中学3年生の児童・生徒。,24名,"年間4,000円(損害保険料800円、材料費3,200円)とする。",青森県,青森県げんねんジュニアロボットコンテストへの出場、交流会などの遠征活動があります。,ものづくり活動、科学実験に興味のあるお子さん,毎年4月上旬に学校から入会案内を配布しています。,定員が空き次第随時受付します。,定員に空きがあれば、随時受け付けしています。,〒０３６－０２１３　青森県平川市新屋町松下３０－８,０９０－２９７１－７１３５,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,平日９：００～１８：００,０１７２－５７－４４４７,saori59mail＠gmail.com,,,,,,
弘前市少年少女発明クラブ,ひろさきし,http://kids.jiii.or.jp/modules/pico/index.php?content_id=27,青森県,弘前市,弘前市下白銀町19－4,弘前文化センター　　工作実習室他,各月の指定日曜日　（年間２０回）,小学校３年～中学校３年,４２名,年間３０００円,,,,事務局あてにハガキで応募,弘前市の広報紙等の記載日（３月１５日）,３月３１日,弘前市中野２丁目１４の３　少年少女発明クラブ事務局,０１７２－３２－１６６７,※件名に少年少女発明クラブとご記入願います。,,,ｎａｋａ２１４３ｔｏｍｏ＠ｙａｈｏｏ．ｃｏ．ｊｐ,,,,,,
三沢市少年少女発明クラブ,みさわし,http://kids.jiii.or.jp/modules/pico/index.php?content_id=32,青森県,三沢市,青森県三沢市大字三沢字北山１５８,青森県立三沢航空科学館内,原則として毎月隔週日曜日,小学校3年生～中学校2年生,30名,"年間3,000円（材料費・保険料含む）",,,,,,,青森県立三沢航空科学館,０１７６－５０－７７７７,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,9:00～17:00（毎週月曜日休館、ただし月曜が祝日の場合は翌日休館）,０１７６－５０－７５５９,,,,,,,
六ヶ所村少年少女発明クラブ,ろっかしょむら,http://kids.jiii.or.jp/modules/pico/index.php?content_id=35,青森県,上北郡六ヶ所村,青森県上北郡六ヶ所村大字尾駮字二又83番地26,六ヶ所村立二又夢はぐ館,月2回（土曜日）の午前　夏季休暇中は宿泊体験学習を実施,小学校2年生～中学校3年生まで,無し,無し,無し,,,,,,六ヶ所村教育委員会　社会教育課,０１７５－７２－２１１１,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,月曜日～金曜日（祝日を除く）8:15～17:00,０１７５－７２－２２４６,,,,,,,
奥州市少年少女発明クラブ,おうしゅうし,http://kids.jiii.or.jp/modules/pico/index.php?content_id=38,岩手県,奥州市,岩手県奥州市水沢大鐘町二丁目15(※送付物は下記事務局にお願いします。),奥州市少年少女発明クラブ川端教室　ほか,"学校行事等に配慮した年間活動計画に沿って行います。
2020年度より2コース制に移行しています。
＜基礎コース＞年10回　第2土曜日9：00～10：15　（原則）
＜応用コース＞年16回　第2・第4土曜日10：30～12：00　（原則）
＜特別活動＞「みんなで体験発明くふう塾」ワークショップ、 2年生限定【入門コース】、県クラブ交流会、作品展示会 など","奥州市内小学生3年生〜6年生
　基礎コース～初回入会者コース～     (3年生・4年生)
　応用コース～基礎修了者•出品コース～(4年生～6年生)","基礎コース16名以内
　応用コース24名以内(各学年8名程度•継続者優先です)","基礎コース　5,000円
　応用コース　8,000円
活動保険料含む。別途、材料費や参加費がかかることもあります。",なし,転入等による途中入会は、事務局までお問い合わせください。,奥州市内小学生3年生～6年生,"毎年３月に小学校を通じて「会員募集チラシ」を配布しています。
チラシの「☆申込について」をみてください。",毎年3月に次年度の募集を行います。,募集開始日から1週間程度、抽選です。,"岩手県奥州市江剌大通リ1番8号
奥州市協働まちづくり部生涯学習スポーツ課江刺生涯学習センター内","0197-35-2111(内線2672)
0197-34-1077 (ダイヤルイン)",※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,月火木金8:45-17:15 (原則),0197-31-2031(江刺図書館兼用),,,,,,,
北上市少年少女発明クラブ,きたかみし,http://kids.jiii.or.jp/modules/pico/index.php?content_id=39,岩手県,北上市,岩手県北上市大通,北上市生涯学習センター(「おでんせプラザぐろーぶ」内)北上市高等職業訓練校,毎月第2、4土曜日の午後2時～4時まで,小学校2年生～中学校2年生,30名　（先着順）,"年間 1人 3,000円　（弟、妹の2人目からは2,000円）",http://kitakami-hatumei.sakura.ne.jp/,,北上市少年少女発明クラブは、身近な素材を使って理科などを応用した実験や自分のアイデアを形にする工作など、子どもたちの豊かな発想を伸ばすための活動を行っております。,①.氏名　②.保護者名　③.住所　④.電話番号　⑤.学校、学年を記入し、はがき、ファックスまたは電話で申し込む。,3月26日（木）の北上市広報および当クラブのホームページで応募開始（平成22年度会員）,4月15日（木）（平成22年度会員）,北上市少年少女発明クラブ　（北上市生涯学習文化課　社会教育係）,０１９７－６１－３２３２,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,土、日、祝日を除く　10:00～17:00,０１９７－６３－３１２１,,,,,,,
大東町少年少女発明クラブ,だいとうちょう,http://kids.jiii.or.jp/modules/pico/index.php?content_id=40,岩手県,一関市,岩手県一関市大東町沖田字峯岸5,旧天狗田小学校（西校舎）,毎月第2、第4土曜日,市内在住の小学1年生～中学生,20,,,,,,,,一関市大東支所生涯学習課内　少年少女発明クラブ事務局,０１９１－７２－２１１１,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,,０１９１－７２－２２２２,,,,,,,
遠野市少年少女発明クラブ,とおのし,,岩手県,遠野市,,,,,,,,,,,,,,,,,,,,,,,,
花巻少年少女発明クラブ,はなまき,http://kids.jiii.or.jp/modules/pico/index.php?content_id=41,岩手県,花巻市,岩手県花巻市松園町4-3,花巻市技術振興会館内,原則として毎月第2、第4土曜日午前中,小学３年生～小学6年生、及び中学生,３０名,"年会費 4,000円/人(教材費、障害保険料として)",,習熟度に応じたコース制です。できれば基礎コースからの入会をお勧めします。,手先と道具を操って、いろいろな姿、形、や動くものを自在に作りたい人,事務局（TEL ０１９８－２９－４８５１）に電話を下さい。花巻少年少女発明クラブ会員応募用紙を送りますので、それに記入して事務局に送って下さい。,毎年2月15日頃から（別途お知らせ文書発行します。）,3月10日まで。(定員になり次第締切),花巻少年少女発明クラブ(花巻市技術振興会館内),０１９８－２９－４８５１,※件名に、「花巻少年少女発明クラブの件」とご記入下さい。,毎週月・水・金曜日　9：00～12：00（但し祝祭日を除く）,０１９８－２９－４８５２,,,,,,,
宮古市少年少女発明クラブ,みやこし,http://kids.jiii.or.jp/modules/pico/index.php?content_id=380,岩手県,宮古市,岩手県宮古市長町二丁目６番１号,宮古職業訓練センター,原則、第１及び第３土曜日,原則、宮古市内の小学４年生から６年生,２０名,４，０００円,http://www.miyako-vts.ac.jp/~hatumei/,,,ホームページ、宮古市広報、小学校への募集チラシ配布,平成２９年３月１日,平成２９年３月３１日,（職）宮古職業訓練協会（少年少女発明クラブ事務局）,０１９３－６３－６６８８（代）,※件名に、「宮古市少年少女発明クラブの件」とご記入下さい。,９：００～１７：００,０１９３－６２－６２０７,hatumei＠miyako-vts.ac.jp,,,,,,
盛岡市少年少女発明クラブ,もりおかし,http://kids.jiii.or.jp/modules/pico/index.php?content_id=25,岩手県,盛岡市,盛岡市本宮字蛇屋敷13-1,盛岡市子ども科学館　工作室,4月～2月の毎週日曜日（夏休み・冬休み期間を除く）,初級コース：小学校4年生～6年生、応用コース：小学校5年生～中学校2年生,各コース15名ずつ　計30名,"年会費5,000円（傷害保険料込）",http://www.kodomokagakukan.com/hatumei/hatumei-index.html,,工作、発明に興味がある人を募集します。,盛岡市子ども科学館内、盛岡市広報2月15日号の募集内容を往復はがきに記入し送付。（応募者多数場合は抽選）,2月中旬,3月上旬,盛岡市少年少女発明クラブ（盛岡市子ども科学館内）,０１９－６３４－１１７１,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,9:00～16:30（※少年少女発明クラブについての件とお伝え下さい。）,０１９－６３５－２５６１,,,,,,,
仙台市青葉少年少女発明クラブ,せんだいしあおば,http://kids.jiii.or.jp/modules/pico/index.php?content_id=46,宮城県,仙台市青葉区,仙台市青葉区荒巻字青葉6-6　東北大学　青葉山キャンパス18-2,東北大学　工学部　カタールサイエンスキャンパス　カタールホール,月1回　第3土曜日　(先生・会場の都合により変更有）,仙台市内及び近郊の小学校4年生～6年生,初級20名,"初級コース22,000円（会費、教材費）",http://www.hatsumei.club/,,初級20人（小4～6年）,ホームページ　http://www.hatsumei.club/ にて告知,,,〒980-0803　仙台市青葉区国分町1-6-18　東北銀行ビル　3階,０２２－２６１－１２１２,※件名に、「仙台市青葉少年少女発明クラブの件」とご記入下さい。,AM9:00～18：00(土・日・祝日を除く）,０２２－２６１－０８８８,sendai-aoba@hatsumei.club,,,,,,
仙台市泉少年少女発明クラブ,せんだいしいずみ,http://kids.jiii.or.jp/modules/pico/index.php?content_id=43,宮城県,仙台市泉区,仙台市泉区将監10-3-1,仙台市立将監中央小学校,月2回（第1・3土曜日）,市内在住の小学4年生～小学6年生,45,,,,,,,,仙台市泉区役所まちづくり推進課内　少年少女発明クラブ事務局,０２２－３７２－３１１１,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,,０２２－７７３－８８２３,,,,,,,
仙台市太白少年少女発明クラブ,せんだいしたいはく,http://kids.jiii.or.jp/modules/pico/index.php?content_id=45,宮城県,仙台市太白区,仙台市太白区太白1-5-1,仙台市立太白小学校,月2回　土曜日午後から,太白区等在住の小学4年生～中学2年生,40,,http://eenet-tohoku.jp/html/taihakuhatumei/,,,,,,仙台市太白少年少女発明クラブ事務局,０２２－２４５－３４７４,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,,０２２－２４５－２４８５,,,,,,,
大和町少年少女発明クラブ,たいわちょう,http://kids.jiii.or.jp/modules/pico/index.php?content_id=59,宮城県,黒川郡大和町,宮城県黒川郡大和町吉岡南二丁目4-14,大和町ふれあい文化創造センター,（原則）毎月第2・4土曜日,町内の小学生,25名,"入会金3,000円　　講座ごと500円",,,,,,,大和町教育委員会生涯学習課,０２２－３４５－７５０８,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,午前8時30分～午後5時30分,０２２－３４４－３７５５,ｓｙａｋｙｏ＠ｔｏｗｎ．ｔａｉｗａ．ｍｉｙａｇｉ．ｊｐ,,,,,,
富谷市少年少女発明クラブ,とみやし,http://kids.jiii.or.jp/modules/pico/index.php?content_id=44,宮城県,冨谷市,宮城県富谷市西成田郷田一番94,富谷市　西成田コミュニティセンター　　ホール,主に第3日曜午後,富谷市内の小学校4年生～6年生,20,"年間　10,000円(材料費、保険料)",https://www.tomiya-kids-invention-club.com/,,,応募方法：広報とみやに応募方法を掲載,3月1日,3月15日,西成田コミュニティセンター内,０２２－３５８－４３１５（横倉）,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,10時～18時,,<tomiya.kids.invention.club@gmail.com/>,,,,,,
秋田市少年少女発明クラブ,あきたし,http://kids.jiii.or.jp/modules/pico/index.php?content_id=49,秋田県,秋田市,秋田県秋田市広面字釣瓶町13-3,秋田市東部市民サービスセンター,第１・第３土曜日　１３：３０～１５：３０,市内在住の小学3年生～中学3年生,２０人,４，０００円（保険料含む）,,,,毎年３月に秋田市広報に掲載、各小学校への募集案内ポスターの掲示,３月下旬,４月上旬,秋田市東部市民サービスセンター内　秋田少年少女発明クラブ,０１８－８５３－１３８９,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,８：３０～１７：１５,０１８－８３４－１８２９,,,,,,,
大館少年少女発明クラブ,おおだて,http://kids.jiii.or.jp/modules/pico/index.php?content_id=47,秋田県,大館市,大館市釈迦内字獅ヶ森１番地,大館郷土博物館,毎週土曜日,小学校3学年～中学校2学年,30名,"年会費2,000円",,,,大館市教育委員会より各小中学校へ通知する,4月 1日,4月30日,〒017-0806　大館市相染沢中岱１３－２５,０１８６－４２－４２５９,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,,０１８６－４２－３３６２,,,,,,,
さがえ少年少女発明クラブ,さがえ,http://kids.jiii.or.jp/modules/pico/index.php?content_id=398,山形県,寒河江市,山形県寒河江市中央1-9-45,旧幸生小学校（寒河江市幸生550）,5月-2月の間、原則、月に2回、土曜日の午前中,寒河江市内の小中学校の児童・生徒,40名,"年会費　\5,000",https://www.sagaemirai.jp/,,,寒河江市の小中学校内メールシステムで告知・応募,春,春,さがえ未来コンソーシアム事務局,０２３７－８５－１５５６,※件名に、「さがえ少年少女発明クラブの件」とご記入下さい。,9：00～16:30,０２３７－８６－８６９１,info＠sagaemirai.jp  　送信の際は＠を半角小文字に変えてください。,,,,,,
鶴岡少年少女発明クラブ,つるおか,http://kids.jiii.or.jp/modules/pico/index.php?content_id=52,山形県,鶴岡市,山形県鶴岡市大宝寺字日本国２５４－６,秋山鉄工(株)　日本国工場内　『末端技術研究所』,基本的に毎月第二・四土曜日（９：００～１１：３０）,小学校３年生～中学校３年生,１５名,年額４，０００円（保険料含む）,http://mattanken.jimdo.com/,,モノづくりに興味のある児童生徒の皆さんの参加をお待ちしています。,『広報つるおか５月号』にて募集。,５月１日,５月第２金曜日,鶴岡少年少女発明クラブ事務局 （鶴岡市教育委員会学校教育課内）,０２３５－５７－４８６５,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,８：３０～１７：１５,０２３５－５７－４８８６,gkyouiku＠city.tsuruoka.yamagata.jp,,,,,,
天童少年少女発明クラブ,てんどう,http://kids.jiii.or.jp/modules/pico/index.php?content_id=58,山形県,天童市,山形県天童市老野森2-6-2,天童市勤労青少年ホーム内,毎月1回土曜日　午前9時30分～正午,市内在住の小学校3年生～小学校6年生,30,,,,,,,,天童商工会議所内　少年少女発明クラブ事務局,０２３－６５４－３５１１,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,,０２３－６５４－７４８１,,,,,,,
東根少年少女発明クラブ,ひがしね,http://kids.jiii.or.jp/modules/pico/index.php?content_id=53,山形県,東根市,山形県東根市白水1丁目7,東根地域職業訓練センター（旧東根公民館）,第1・3土曜日　9:00～12:00,（募集時において）小学校３～５年生,３０人程度,５００円（保険料）,,,,事務局までご連絡ください,例年9月上旬頃,例年9月下旬頃,東根少年少女発明クラブ（東根市教育委員会　管理課内）,０２３７－４２－１１１１（内線：３５１１）,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,月曜日～金曜日（8:30～17:15）,０２３７－４３－１１７６,,,,,,,
三川少年少女発明クラブ,みかわ,http://kids.jiii.or.jp/modules/pico/index.php?content_id=54,山形県,東田川郡三川町,山形県東田川郡三川町,おもしろ教室,毎月土曜日（月2回程度）,小学４年生～中学3年生,１６名,年会費　3000円,,なし,もの作りや科学に興味があるお子さん,学校から配布されるチラシをご覧ください,４月上旬,４月下旬,三川少年少女発明クラブ（テオトル内）,０２３５－６４－８３１０,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,平日の8：30～17:00,０２３５－６４－８３１１,kouminkan＠town.mikawa.yamagata.jp,,,,,,
最上少年少女発明クラブ,もがみ,http://kids.jiii.or.jp/modules/pico/index.php?content_id=57,山形県,新庄市,山形県新庄市大字昭和６６０番地,最上市町村圏事務組合教育研究センター,５月～１１月　毎週土曜日,小学校４年生以上,20名,,,,,,,,最上市町村圏事務組合　教育研究センター,0233-32-1888,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,9時-17時,0233-32-1889,center＠mkc.jp,,,,,,
山形少年少女発明クラブ,やまがた,http://kids.jiii.or.jp/modules/pico/index.php?content_id=51,山形県,山形市,山形県山形市双月町,山形少年少女発明クラブ,学校休日（土）の午前　月2～3回　年間計画表に基づいて活動（年28回）,小学校3年生～中学校2年生,30～40名,"年会費8,000円（保険代含む）",,途中入会も可能です。,科学ものづくりに興味のあるお子さん,希望者、先着順を原則（大幅にオーバーのときは抽選も）,毎年3月上旬から下旬まで、募集を行っています。,3月旬,山形少年少女発明クラブ事務局（浦安）,０２３－６２３－７２８３,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,,０２３－６２３－７２８３,,,,,,,
米沢少年少女発明クラブ,よねざわ,http://kids.jiii.or.jp/modules/pico/index.php?content_id=56,山形県,米沢市,山形県米沢市城南4-3-16,山形大学工学部,定例5月～12月　主に第2・第4土曜日午後、自主講座　1月～4月,小学4年生～6年生,30名,"3,000円/年　チャレコンからくりコースは8,000円/年",米沢工業会-会員活動報告-米沢少年少女発明クラブ,工業会のHPから写真により、現在の活動の様子が見られます。,,小学校に資料配布,4月中旬,5月上旬,（一社）米沢工業会内　米沢少年少女発明クラブ,0238-22-7866　0238-26-3043,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,,0238-22-7866,ｔａｋａｓｕｚｕ＠ｙｚ．ｙａｍａｇａｔａ－ｕ．ａｃ．ｊｐ,,,,,,
会津若松市少年少女発明クラブ,あいづわかまつし,http://kids.jiii.or.jp/modules/pico/index.php?content_id=63,福島県,会津若松市,福島県会津若松市栄町3－50,会津若松市生涯学習総合センター「會津稽古堂」１階美術工芸スタジオ,土曜日の午前中（夏休み・冬休み中は平日）,市内の小学4年生から小学6年生,35名程度,基本的に無料ですが、体験料等別途発生する場合があります。,https://www.city.aizuwakamatsu.fukushima.jp/docs/2007080801006/,,,毎年、学校をとおして、募集を行っています。,毎年４月,毎年５月上旬（定員になり次第締め切り）,会津若松市観光商工部商工課（会津若松市少年少女発明クラブ事務局）,０２４２－３９－１２５２,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,8時30分から17時15分まで,０２４２－３９－１４３３,ｓｈｏｋｏ＠ｔｗ．ｃｉｔｙ．ａｉｚｕｗａｋａｍａｔｓｕ．ｆｕｋｕｓｈｉｍａ．ｊｐ,,,,,,
喜多方市少年少女発明クラブ,きたかたし,http://kids.jiii.or.jp/modules/pico/index.php?content_id=64,福島県,喜多方市,福島県喜多方市字押切2-1,喜多方プラザ,,,25,,,,,,,,喜多方市中央公民館内　少年少女発明クラブ事務局,０２４１－２４－４８１１,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,,０２４１－２４－４６１２,,,,,,,
郡山市少年少女発明クラブ,こおりやまし,http://kids.jiii.or.jp/modules/pico/index.php?content_id=61,福島県,郡山市,郡山市駅前2-11-1,ビッグアイ　郡山市ふれあい科学館,5月から翌年2月まで。原則として日曜日の午前。,小学3年生～中学3年生,30,無料,http://www.space-park.jp/club/hatsumei/,,,毎年3月頃から募集。詳しくは当クラブのホームページにてお知らせします。,,,郡山市ふれあい科学館内　少年少女発明クラブ事務局,０２４－９３６－０２０１,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,10：00～17：00,０２４－９３６－００８９,ｉｎｆｏ＠ｓｐａｃｅ－ｐａｒｋ．ｊｐ,,,,,,
石岡少年少女発明クラブ,いしおか,http://kids.jiii.or.jp/modules/pico/index.php?content_id=67,茨城県,石岡市,石岡市高浜112,石岡市立旧城南中学校　技術室,第２土曜日,小学校３年～６年生まで,30名,"年会費3,000円",,,,科学技術週間時（継続会員はその節に）,当日　10:00～12:00,当日　12時（ＡＭ）,茨城県石岡市若松2-3-31,０２９９－２４－１８０５,※件名に、「○○（具体的な名称）少年少女発明クラブの件」とご記入下さい。,,０２９９－２４－１８０５,,,,,,,
